"Produits Laitiers, Lait, Oeufs",Boissons,4 ACTIVIA PRUNEAUX
Epicerie Sucrée,"Produits Laitiers, Lait, Oeufs",4X90G TIRAM CRF
Boulangerie,Epicerie Sucrée,BAGUETTE CAMPAGNAR
Epicerie Sucrée,Epicerie Sucrée,HOUTARDE CRF 370G 0 64NUTELLA SLEEVE T95
Épicerie Salée,Épicerie Salée,TAGLIATELLE BIO
Boissons,Epicerie Sucrée,1 5L LIMONADE CRF
Épicerie Salée,Epicerie Sucrée,1/2 OLIVE FARCIES
Poissonnerie,Poissonnerie,1/4 THON NATREL PN
Viande,Plats préparés,100G FILET BACON
Epicerie Sucrée,Epicerie Sucrée,3X TWIX 150G
Légumes,Epicerie Sucrée,125G BOUQUET MACHE
Bébé,Epicerie Sucrée,230G BRIE
Poissonnerie,Epicerie Sucrée,440G MOUTARDE
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,600G FRITE A
Boissons,Boissons,6X1L EAU S AN
Boissons,Épicerie Salée,75CL GROS PLANT
Boissons,Epicerie Sucrée,ABRICOT PETIT
Boissons,Épicerie Salée,ABV BLANC 1L
Boulangerie,Epicerie Sucrée,BAGUETTE CAMPAGNAR
"Produits Laitiers, Lait, Oeufs","Produits Laitiers, Lait, Oeufs",BUCHE ST MAURE AOP
Viande,Plats préparés,BURGER EMM/CHEDDAR
Épicerie Salée,Epicerie Sucrée,COEUR LAITUE CRF
"Produits Laitiers, Lait, Oeufs","Produits Laitiers, Lait, Oeufs",CREM FRAICH EPAISS
Boissons,Boissons,EAU CRISTALINE X6
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,EMMENTAL RAPE CRF
"Produits Laitiers, Lait, Oeufs",Plats préparés,MAGRET CANARD
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,OEUFS CAILLE CUITS
Épicerie Salée,Boulangerie,P FEUILLETEE EPAIS
Viande,Epicerie Sucrée,PLT FERMIER JNE
"Produits Laitiers, Lait, Oeufs",Épicerie Salée,SAINT NETAIRE
Viande,Epicerie Sucrée,SCISSON SEC PP CRF
Viande,Epicerie Sucrée,SH 15% CRF 3X125G
Boissons,Légumes,TOM CERIS BOURRICH
Légumes,Epicerie Sucrée,TOMATE GRAPPE
Boissons,Légumes,75CL CHAMP BRUT
Boissons,Epicerie Sucrée,DE CLAMINGER
Viande,Plats préparés,POULET FERMIER/LICQUES L/RGE
Viande,Epicerie Sucrée,!SAUCISSES COCKTAIL NATURE 450G
Viande,Hygiène et Beauté,LOT 2 GDS LARDONS FUMES +1 GT
Viande,Epicerie Sucrée,PATE EN CROUTE 450G S/AZAY
Épicerie Salée,Epicerie Sucrée,TAGLIATELLES 600G
"Produits Laitiers, Lait, Oeufs",Épicerie Salée,BEURRE 1/2 SEL MOULIN OR 250G
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,OEUFS FRAIS MOYEN X12
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,CREME FRAICHE 30 CL
"Produits Laitiers, Lait, Oeufs",Boulangerie,RAPE LES CROISES ZIP 200G
Fruits,Epicerie Sucrée,POMME ROUGE
Boulangerie,Epicerie Sucrée,BAGUETTE 250G
Produits Surgelés,Produits Surgelés,FEUILLETES SURG BLINI 475G
"Produits Laitiers, Lait, Oeufs","Produits Laitiers, Lait, Oeufs",BRIE DE NORMANDIE AU LAIT CRU
"Produits Laitiers, Lait, Oeufs","Produits Laitiers, Lait, Oeufs",LE CHEVROT LAIT CRU 200G
"Produits Laitiers, Lait, Oeufs",Hygiène et Beauté,BRIQUETTE CH'TI
Produits Surgelés,Epicerie Sucrée,PAELLA TRADITIONNELLE
Plats préparés,Epicerie Sucrée,SALADE PDT HARENG 2 5KG
Viande,Epicerie Sucrée,SAUCISSON CHEVAL
Plats préparés,Viande,OEUF POCHE AU JAMBON 90G
Épicerie Salée,Boissons,FONDUE POIREAUX JAMBON
Plats préparés,Epicerie Sucrée,SALADE DE PERLES OCEANES
Épicerie Salée,Epicerie Sucrée,X *HARICOTS VERTS EXF N/J 4/4
Entretien,Epicerie Sucrée,48 DOSETTES CLASSIQUE 336G
Boissons,Epicerie Sucrée,SIR EDWARD'S 40D 70CL
Boissons,Boissons,RHUM ARRANG CHATEL LETCHI
Boissons,Épicerie Salée,X PASTIS SIGALE 45D 1L ECO+
Boissons,Épicerie Salée,X BIANCO GILDO ECO+ 1L
Boissons,"Produits Laitiers, Lait, Oeufs",X *JEAN'S COLA PET 150CL
Boissons,Petit-Déjeuner,X *PLUS D'ORANGE BRICK 1L
Hygiène et Beauté,Epicerie Sucrée,DCH PETALE ORIENT MANAV 100ML
Maison,Epicerie Sucrée,MULTIP ALLCIG 2 SORT 12V/24V
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,GERVAIS YOGHURT FR
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,GERVAIS YOGHURT FR
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,GERVAIS YOGHURT FR
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,GERVAIS YOGHURT FR
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,SLA PERLE 125GX4 C
Boissons,Boissons,1L PJ ORANGE MEDIT
Boissons,Boissons,1L PJ ORANGE MEDIT
Légumes,Épicerie Salée,M/BIO AUBERGINE
Légumes,Épicerie Salée,BIO COURGETTE ROND
Boissons,Boissons,PERRIER 6X1L
Boissons,Boissons,VITTEL 6X1 5L
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,VIVA BK1L 
Epicerie Sucrée,Épicerie Salée,1KG FARIN/BLE FLUI
Loisirs,Epicerie Sucrée,VOITURE DISNEY
Viande,Épicerie Salée,2 TR JAMBON BIO AC
Boulangerie,Boulangerie,PAIN CEREALE MBIO
Hygiène et Beauté,Épicerie Salée,MPX MCH BTE SPE
Hygiène et Beauté,Épicerie Salée,MPX MCH BTE SPE
Boissons,Epicerie Sucrée,LONGUE CONSERVATIO
Fruits,Épicerie Salée,RAISIN BLANC
Hygiène et Beauté,Epicerie Sucrée,MBIO HUILE ARGAN
"Produits Laitiers, Lait, Oeufs",Épicerie Salée,LES2VACH FLAN BIO
"Produits Laitiers, Lait, Oeufs",Épicerie Salée,6 OEUFS MONOP BIO
Fruits,Épicerie Salée,CITRON JAUNE
Epicerie Sucrée,Epicerie Sucrée,DEC150SMIL40EVISIT
Épicerie Salée,Epicerie Sucrée,1/2 OLIVE FARCIES
Epicerie Sucrée,Epicerie Sucrée,10X TWIX 500G
"Produits Laitiers, Lait, Oeufs","Produits Laitiers, Lait, Oeufs",200G X10 FROM FOND
Produits Surgelés,Épicerie Salée,600G FRITE AU FOUR
Boissons,Épicerie Salée,ABV BLANC 1L
Boulangerie,Viande,BAGUETTE CARREFOUR
Viande,Épicerie Salée,BOUDIN BLANC PORTO
Viande,Épicerie Salée,CRF FILET DE BACON
Viande,Epicerie Sucrée,PATE EN CROUTE
Plats préparés,Légumes,RISOTTO CHAMP PLT
Viande,Epicerie Sucrée,S HACH15% CRF 125G
Viande,Epicerie Sucrée,SCISSON SEC PP CRF
Viande,Plats préparés,POULET FERMIER/LICQUES L/RGE
Viande,Epicerie Sucrée,SAUCISSES COCKTAIL NATURE 450G
Viande,Hygiène et Beauté,LOT 2 GDS LARDONS FUMES +1 GT
Viande,Epicerie Sucrée,PATE EN CROUTE 450G S/AZAY
Épicerie Salée,Epicerie Sucrée,TAGLIATELLES 600G
"Produits Laitiers, Lait, Oeufs",Épicerie Salée,BEURRE 1/2 SEL MOULIN D'OR 250G
"Produits Laitiers, Lait, Oeufs",Epicerie Sucrée,OEUFS FRAIS MOYEN X12
"Produits Laitiers, Lait, Oeufs","Produits Laitiers, Lait, Oeufs",CREME FRAICHE 30%MG 50CL
"Produits Laitiers, Lait, Oeufs",Boulangerie,RAPE LES CROISES ZIP 200G
Fruits,Epicerie Sucrée,POMME ROUGE
Boulangerie,Epicerie Sucrée,BAGUETTE 250G
Produits Surgelés,Produits Surgelés,FEUILLETES SURG BLINI 475G
"Produits Laitiers, Lait, Oeufs","Produits Laitiers, Lait, Oeufs",BRIE DE NORMANDIE AU LAIT CRU
"Produits Laitiers, Lait, Oeufs","Produits Laitiers, Lait, Oeufs",LE CHEVROT LAIT CRU 200G
"Produits Laitiers, Lait, Oeufs",Hygiène et Beauté,BRIQUETTE CH'TI
Plats préparés,Epicerie Sucrée,PAELLA TRADITIONNELLE
Plats préparés,Epicerie Sucrée,SALADE PDT HARENG 2 5KG
Viande,Epicerie Sucrée,SAUCISSON CHEVAL
Plats préparés,Viande,OEUF POCHE AU JAMBON 90G
Plats préparés,Boissons,FONDUE POIREAUX JAMBON
Plats préparés,Epicerie Sucrée,SALADE PERLES OCEANES
Épicerie Salée,Epicerie Sucrée,X *HARICOTS VERTS EXF N/J 4/4
Entretien,Epicerie Sucrée,48 DOSETTES CLASSIQUE 336G
Boissons,Boissons,RHUM ARRANG CHATEL LETCHI
Boissons,Épicerie Salée,PASTIS SIGALE 45% 1L ECO+
Boissons,Épicerie Salée,X BIANCO GILDO ECO+ 1L
